Alcohol Percentage,Alcoholic__,All Ingredients,amount,Alcoholic,pure alcohol,Nonalcoholic,Number of Records,Ingredient Index,Ingredient Name,Sort of drink,Cocktail Name,Extra,Garnish,Glass,Index,Ingredient 1 #,Ingredient 2 #,Ingredient 3 #,Ingredient 4 #,Ingredient 5 #,Ingredient 6 #,Ingredient 7 #,Ingredient 8 #,Ingredient 9 #,Method
0,FALSE,Grapefruit juice,4,,0,4,1,Ingredient 2,Grapefruit juice,All Day Cocktail,Hemingway Special,,,double cocktail,33,6,4,1.5,1.5,,,,,,shake & strain
0,FALSE,Ginger Ale,12,,0,12,1,Ingredient 2,Ginger Ale,Longdrink,Horse’s Neck,add dashes of Angostura bitters,rind of one lemon spiral,highball,34,4,12,,,,,,,,stir
0,FALSE,Hot coffee,9,,0,9,1,Ingredient 2,Hot coffee,Hot Drink,Irish Coffee,,,coffee mug,35,4,9,3,1,,,,,,warm & pour
0,FALSE,Fresh lemon juice,3,,0,3,1,Ingredient 2,Fresh lemon juice,Longdrink,John Collins,dash of Angostura bitters,lemon slice and maraschino cherry,highball glass,36,4.5,3,1.5,6,,,,,,stir
0.2,TRUE,Triple Sec,3,3,0.6,,1,Ingredient 2,Triple Sec,All Day Cocktail,Kamikaze,,,cocktail,37,3,3,3,,,,,,,shake & strain
0.2,TRUE,Créme de Cassis,1,1,0.2,,1,Ingredient 2,Créme de Cassis,Before Dinner Cocktail,Kir,For Kir Royal: Use champagne instead of white wine,,champagne glass,38,9,1,,,,,,,,Pour
0.2,TRUE,Triple Sec,2,2,0.4,,1,Ingredient 2,Triple Sec,All Day Cocktail,Lemon Drop Martini,glass rimmed with suga,slice of lemon,cocktail,39,2.5,2,1.5,,,,,,,shake & strain
0.4,TRUE,Vodka,1.5,1.5,0.6,,1,Ingredient 2,Vodka,Longdrink,Long Island Iced Tea,Serve with straw.,lemon spiral,highball,40,1.5,1.5,1.5,1.5,1.5,2.5,3,1,,stir
0.4,TRUE,Dark Rum,2,2,0.8,,1,Ingredient 2,Dark Rum,Longdrink,Mai-Tai,Serve with straw.,"pineapple spear, mint leaves and lime peel",highball,41,4,2,1.5,1.5,1,,,,,shake & strain
0.14,TRUE,Red Vermouth,2,2,0.28,,1,Ingredient 2,Red Vermouth,Before Dinner Cocktail,Manhattan,,cocktail cherry,cocktail,42,5,2,1,,,,,,,shake & strain
0.4,TRUE,Cointreau,2,2,0.8,,1,Ingredient 2,Cointreau,All Day Cocktail,Margarita,glass rimmed with salt,,cocktail,43,3.5,2,1.5,,,,,,,shake & strain
0.32,TRUE,Maraschino,1,1,0.32,,1,Ingredient 2,Maraschino,All Day Cocktail,Mary Pickford,,,cocktail (large),44,6,1,6,1,,,,,,shake & strain
0,FALSE,Fresh orange juice,7.5,,0,7.5,1,Ingredient 2,Fresh orange juice,Sparkling Cocktail,Mimosa,,orange twist,flute,45,7.5,7.5,,,,,,,,stir
0,FALSE,fresh mint sprigs,4,,0,4,1,Ingredient 2,Fresh mint sprigs,Longdrink,Mint Julep,,mint spring,highball,46,6,4,1,2,,,,,,"muddle the mint, sugar and water. stir"
0,FALSE,Fresh lime juice,3,,0,3,1,Ingredient 2,Fresh lime juice,Longdrink,Mojito,Serve with straw.,spring of mint leaves and lemon slice.,highball,47,4,3,6,2,,,,,,"muddle lime, sugar and mint"
0,FALSE,Orange juice,3,,0,3,1,Ingredient 2,Orange juice,All Day Cocktail,Monkey Gland,,,cocktail,48,5,3,2,2,,,,,,shake & strain
0,FALSE,Ginger Beer,12,,0,12,1,Ingredient 2,Ginger Beer,Longdrink,Moscow Mule,,lime slice,highball,49,4.5,12,0.5,1,,,,,,
0.15,TRUE,Campari,3,3,0.45,,1,Ingredient 2,Campari,Before Dinner Cocktail,Negroni,,half orange slice,old-fashioned,50,3,3,3,,,,,,,stir
0,FALSE,Dashes Angostura Bitters,2,,0,2,1,Ingredient 2,Dashes Angostura Bitters,Before Dinner Cocktail,Old Fashioned,,orange slice and a cocktail cherry,old-fashioned,51,4.5,2,1,,,,,,,"Disolve sugar with bitters and water,add rest."
0.4,TRUE,Apricot Brandy,2,2,0.8,,1,Ingredient 2,Apricot Brandy,All Day Cocktail,Paradise,,,cocktail,52,3.5,2,1.5,,,,,,,shake & strain
0,FALSE,Pineapple juice,9,,0,9,1,Ingredient 2,Pineapple juice,Longdrink,Pina Colada,Serve with straw.,slice of pineapple with a cocktail cherry,large goblet or Hurricane,53,3,9,3,,,,,,,blend
0,FALSE,Fresh lemon juice,3,,0,3,1,Ingredient 2,Fresh lemon juice,All Day Cocktail,Pisco Sour,,Dash some Angostura bitters on top,champagne flute,54,4.5,3,2,1,,,,,,shake & strain
0,FALSE,Fresh orange juice,3.5,,0,3.5,1,Ingredient 2,Fresh orange juice,Longdrink,Planter's Punch,,cocktail cherry and pineapple,large glass,55,4.5,3.5,3.5,2,1,1,3.5,,,
0.14,TRUE,Red Port,4.5,4.5,0.63,,1,Ingredient 2,Red Port,After Dinner Cocktail,Porto Flip,,fresh ground nutmeg,cocktail,56,1.5,4.5,1,,,,,,,shake & strain
0,FALSE,Lime juice,1.5,,0,1.5,1,Ingredient 2,Lime juice,Longdrink,Ramos Fizz,,,highball,57,4.5,1.5,1.5,3,6,1,3,,,"dry shake, hard shake & strain"
0,FALSE,Kirsch,2,,0,2,1,Ingredient 2,Kirsch,All Day Cocktail,Rose,,,cocktail,58,4,2,3,,,,,,,stir & strain
0,FALSE,Fresh lemon juice,2.5,,0,2.5,1,Ingredient 2,Fresh lemon juice,Sparkling Cocktail,Russian Spring Punch,top with sparkling wine,lemon slice and a blackberry,highball,59,2.5,2.5,1.5,1,,,,,,Shake
0,FALSE,Drambuie,2.5,,0,2.5,1,Ingredient 2,Drambuie,After Dinner Cocktail,Rusty Nail,,Lemon twist,old-fashioned,60,4.5,2.5,,,,,,,,Stir gently
0.4,TRUE,Absinthe ( Rinse glass with then discard excess),1,1,0.4,,1,Ingredient 2,Absinthe (Rinse glass with then discard excess),After Dinner Cocktail,Sazerac,,Lemon peel,old-fashioned,61,5,1,1,2,,,,,,stir & strain
0,FALSE,Orange juice,10,,0,10,1,Ingredient 2,Orange juice,All Day Cocktail,Screwdriver,,orange slice,highball,62,5,10,,,,,,,,stir
